# ----------------------------------------
# Reports snapshot
# Account: Luca Berton
# Property: lucaberton.com
# ----------------------------------------
#  
# Start date: 20260531
# End date: 20260629
Active users,New users,Average engagement time per active user,Event count
39,38,13.35897435897436,325

#  
# Start date: 20260531
# End date: 20260629
Page title and screen class,Views,Active users,Event count,Bounce rate
Practical RHEL AI,44,39,281,0.08888888888888889
Practical RHEL AI — Deploy GenAI on Red Hat Linux,44,36,44,0

#  
# Start date: 20260531
# End date: 20260629
First user source / medium,Active users
convertkit / email,38
(direct) / (none),1

#  
# Start date: 20260531
# End date: 20260629
Session source / medium,Sessions
convertkit / email,40
github.com / referral,3
(direct) / (none),1

#  
# Start date: 20260531
# End date: 20260629
Nth day,new,returning
0000,0,0
0001,0,0
0002,38,4
0003,0,0
0004,0,2
0005,0,0
0006,0,0
0007,0,0
0008,0,0
0009,0,0
0010,0,0
0011,0,0
0012,0,0
0013,0,0
0014,0,0
0015,0,0
0016,0,0
0017,0,0
0018,0,0
0019,0,0
0020,0,0
0021,0,0
0022,0,0
0023,0,0
0024,0,0
0025,0,0
0026,0,0
0027,0,0
0028,0,0
0029,0,0

# How does activity on your platforms compare?
# Start date: 20260531
# End date: 20260629
Platform,Key events


#  
# Start date: 20260531
# End date: 20260629
City,Active users
Amsterdam,9
Dublin,6
San Jose,5
Cardiff,2
Des Moines,2
Paris,2
Singapore,2
Flint Hill,1
London,1
Moses Lake,1
New York,1
Reston,1
Sandy Springs,1
Santo Andre,1
Zurich,1

#  
# Start date: 20260531
# End date: 20260629
Audience name,Active users
All Users,39
