"Severity","Issue","URL","Details","How To Fix"
"critical","Broken internal link","https://lucaberton.com/blog/terraform-vs-opentofu-migration-guide-2026/","{""targetUrl"":""https://lucaberton.com/blog/crossplane-kubernetes-infrastructure-control-plane-2026/"",""targetStatus"":503}","Update the link to point at the correct live URL, or remove it. If the target was moved, prefer linking directly to the new URL rather than relying on a redirect."
"critical","Broken internal link","https://lucaberton.com/blog/install-ansible-macos/","{""targetUrl"":""https://lucaberton.com/blog/install-ansible-pip-virtualenv/"",""targetStatus"":503}","Update the link to point at the correct live URL, or remove it. If the target was moved, prefer linking directly to the new URL rather than relying on a redirect."
"critical","Broken internal link","https://lucaberton.com/blog/34/","{""targetUrl"":""https://lucaberton.com/blog/install-ansible-pip-virtualenv/"",""targetStatus"":503}","Update the link to point at the correct live URL, or remove it. If the target was moved, prefer linking directly to the new URL rather than relying on a redirect."
"critical","Broken internal link","https://lucaberton.com/blog/install-ansible-debian-12/","{""targetUrl"":""https://lucaberton.com/blog/install-ansible-pip-virtualenv/"",""targetStatus"":503}","Update the link to point at the correct live URL, or remove it. If the target was moved, prefer linking directly to the new URL rather than relying on a redirect."
"critical","Broken internal link","https://lucaberton.com/blog/install-ansible-windows-wsl2/","{""targetUrl"":""https://lucaberton.com/blog/install-ansible-pip-virtualenv/"",""targetStatus"":503}","Update the link to point at the correct live URL, or remove it. If the target was moved, prefer linking directly to the new URL rather than relying on a redirect."
"critical","Broken internal link","https://lucaberton.com/blog/install-ansible-rhel-9/","{""targetUrl"":""https://lucaberton.com/blog/install-ansible-pip-virtualenv/"",""targetStatus"":503}","Update the link to point at the correct live URL, or remove it. If the target was moved, prefer linking directly to the new URL rather than relying on a redirect."
"critical","Broken internal link","https://lucaberton.com/blog/install-ansible-ubuntu-2404/","{""targetUrl"":""https://lucaberton.com/blog/install-ansible-pip-virtualenv/"",""targetStatus"":503}","Update the link to point at the correct live URL, or remove it. If the target was moved, prefer linking directly to the new URL rather than relying on a redirect."
"critical","Broken internal link","https://lucaberton.com/blog/fix-ansible-galaxy-role-conflict/","{""targetUrl"":""https://lucaberton.com/blog/install-ansible-pip-virtualenv/"",""targetStatus"":503}","Update the link to point at the correct live URL, or remove it. If the target was moved, prefer linking directly to the new URL rather than relying on a redirect."
"critical","Broken internal link","https://lucaberton.com/blog/open-source-ai-tools-roundup-2026/","{""targetUrl"":""https://lucaberton.com/newsletter/"",""targetStatus"":404}","Update the link to point at the correct live URL, or remove it. If the target was moved, prefer linking directly to the new URL rather than relying on a redirect."
"critical","Broken internal link","https://lucaberton.com/blog/fluxcd-vs-argocd-gitops-comparison-2026/","{""targetUrl"":""https://lucaberton.com/blog/crossplane-kubernetes-infrastructure-control-plane-2026/"",""targetStatus"":503}","Update the link to point at the correct live URL, or remove it. If the target was moved, prefer linking directly to the new URL rather than relying on a redirect."
"critical","Broken internal link","https://lucaberton.com/blog/argo-cd-gitops-kubernetes-deployment-2026/","{""targetUrl"":""https://lucaberton.com/blog/crossplane-kubernetes-infrastructure-control-plane-2026/"",""targetStatus"":503}","Update the link to point at the correct live URL, or remove it. If the target was moved, prefer linking directly to the new URL rather than relying on a redirect."
"critical","Broken internal link","https://lucaberton.com/blog/categories/platform-engineering/","{""targetUrl"":""https://lucaberton.com/blog/crossplane-kubernetes-infrastructure-control-plane-2026/"",""targetStatus"":503}","Update the link to point at the correct live URL, or remove it. If the target was moved, prefer linking directly to the new URL rather than relying on a redirect."
"critical","Broken internal link","https://lucaberton.com/blog/backstage-internal-developer-portal-setup-2026/","{""targetUrl"":""https://lucaberton.com/blog/crossplane-kubernetes-infrastructure-control-plane-2026/"",""targetStatus"":503}","Update the link to point at the correct live URL, or remove it. If the target was moved, prefer linking directly to the new URL rather than relying on a redirect."
"critical","Broken internal link","https://lucaberton.com/blog/categories/automation/","{""targetUrl"":""https://lucaberton.com/blog/install-ansible-pip-virtualenv/"",""targetStatus"":503}","Update the link to point at the correct live URL, or remove it. If the target was moved, prefer linking directly to the new URL rather than relying on a redirect."
"critical","Broken internal link","https://lucaberton.com/blog/install-ansible-arch-linux/","{""targetUrl"":""https://lucaberton.com/blog/install-ansible-pip-virtualenv/"",""targetStatus"":503}","Update the link to point at the correct live URL, or remove it. If the target was moved, prefer linking directly to the new URL rather than relying on a redirect."
"critical","Broken internal link","https://lucaberton.com/blog/10/","{""targetUrl"":""https://lucaberton.com/blog/crossplane-kubernetes-infrastructure-control-plane-2026/"",""targetStatus"":503}","Update the link to point at the correct live URL, or remove it. If the target was moved, prefer linking directly to the new URL rather than relying on a redirect."
"warning","Page returns an error (4xx)","https://lucaberton.com/newsletter/","{""statusCode"":404}","If the page should exist, restore it. If it is intentionally gone, remove it from the sitemap and internal links, and consider a 301 redirect to the closest live page."
"info","Heading levels skip","https://lucaberton.com/blog/ai-combat-machines-decide-faster-than-humans/","","Adjust heading levels so they descend one step at a time (H1 → H2 → H3) without skipping."
"info","Heading levels skip","https://lucaberton.com/blog/base-conference-2024/","","Adjust heading levels so they descend one step at a time (H1 → H2 → H3) without skipping."
"info","Heading levels skip","https://lucaberton.com/blog/ai-warfare-speed-of-software-kill-chain/","","Adjust heading levels so they descend one step at a time (H1 → H2 → H3) without skipping."
