"Date","Clicks","Impressions","Avg. CTR"
"2/11/2026 12:00:00 AM","0","0","0"
"2/12/2026 12:00:00 AM","0","0","0"
"2/13/2026 12:00:00 AM","0","0","0"
"2/14/2026 12:00:00 AM","0","0","0"
"2/15/2026 12:00:00 AM","0","0","0"
"2/16/2026 12:00:00 AM","0","0","0"
"2/17/2026 12:00:00 AM","0","0","0"
"2/18/2026 12:00:00 AM","0","1","0"
"2/19/2026 12:00:00 AM","0","1","0"
"2/20/2026 12:00:00 AM","0","0","0"
"2/21/2026 12:00:00 AM","0","0","0"
"2/22/2026 12:00:00 AM","0","0","0"
"2/23/2026 12:00:00 AM","0","0","0"
"2/24/2026 12:00:00 AM","0","0","0"
"2/25/2026 12:00:00 AM","0","0","0"
"2/26/2026 12:00:00 AM","0","0","0"
"2/27/2026 12:00:00 AM","0","0","0"
"2/28/2026 12:00:00 AM","0","1","0"
"3/1/2026 12:00:00 AM","0","0","0"
"3/2/2026 12:00:00 AM","0","2","0"
"3/3/2026 12:00:00 AM","0","2","0"
"3/4/2026 12:00:00 AM","0","0","0"
"3/5/2026 12:00:00 AM","0","1","0"
"3/6/2026 12:00:00 AM","0","0","0"
"3/7/2026 12:00:00 AM","0","1","0"
"3/8/2026 12:00:00 AM","0","5","0"
"3/9/2026 12:00:00 AM","0","6","0"
"3/10/2026 12:00:00 AM","0","1","0"
"3/11/2026 12:00:00 AM","0","1","0"
"3/12/2026 12:00:00 AM","0","2","0"
"3/13/2026 12:00:00 AM","0","4","0"
"3/14/2026 12:00:00 AM","0","6","0"
"3/15/2026 12:00:00 AM","0","5","0"
"3/16/2026 12:00:00 AM","0","11","0"
"3/17/2026 12:00:00 AM","0","53","0"
"3/18/2026 12:00:00 AM","0","56","0"
"3/19/2026 12:00:00 AM","1","64","1.56"
"3/20/2026 12:00:00 AM","3","60","5"
"3/21/2026 12:00:00 AM","1","40","2.5"
"3/22/2026 12:00:00 AM","3","60","5"
"3/23/2026 12:00:00 AM","1","63","1.59"
"3/24/2026 12:00:00 AM","5","73","6.85"
"3/25/2026 12:00:00 AM","2","49","4.08"
"3/26/2026 12:00:00 AM","3","49","6.12"
"3/27/2026 12:00:00 AM","2","49","4.08"
"3/28/2026 12:00:00 AM","1","50","2"
"3/29/2026 12:00:00 AM","1","49","2.04"
"3/30/2026 12:00:00 AM","2","88","2.27"
"3/31/2026 12:00:00 AM","1","55","1.82"
"4/1/2026 12:00:00 AM","4","71","5.63"
"4/2/2026 12:00:00 AM","2","63","3.17"
"4/3/2026 12:00:00 AM","0","45","0"
"4/4/2026 12:00:00 AM","2","50","4"
"4/5/2026 12:00:00 AM","3","57","5.26"
"4/6/2026 12:00:00 AM","2","30","6.67"
"4/7/2026 12:00:00 AM","2","53","3.77"
"4/8/2026 12:00:00 AM","2","58","3.45"
"4/9/2026 12:00:00 AM","0","42","0"
"4/10/2026 12:00:00 AM","0","39","0"
"4/11/2026 12:00:00 AM","1","30","3.33"
"4/12/2026 12:00:00 AM","2","51","3.92"
"4/13/2026 12:00:00 AM","1","42","2.38"
"4/14/2026 12:00:00 AM","12","93","12.9"
"4/15/2026 12:00:00 AM","3","54","5.56"
"4/16/2026 12:00:00 AM","6","77","7.79"
"4/17/2026 12:00:00 AM","1","76","1.32"
"4/18/2026 12:00:00 AM","1","37","2.7"
"4/19/2026 12:00:00 AM","3","40","7.5"
"4/20/2026 12:00:00 AM","3","106","2.83"
"4/21/2026 12:00:00 AM","7","58","12.07"
"4/22/2026 12:00:00 AM","6","59","10.17"
"4/23/2026 12:00:00 AM","5","49","10.2"
"4/24/2026 12:00:00 AM","6","88","6.82"
"4/25/2026 12:00:00 AM","4","58","6.9"
"4/26/2026 12:00:00 AM","3","81","3.7"
"4/27/2026 12:00:00 AM","4","76","5.26"
"4/28/2026 12:00:00 AM","5","76","6.58"
"4/29/2026 12:00:00 AM","5","58","8.62"
"4/30/2026 12:00:00 AM","2","53","3.77"
"5/1/2026 12:00:00 AM","2","46","4.35"
"5/2/2026 12:00:00 AM","3","58","5.17"
"5/3/2026 12:00:00 AM","1","43","2.33"
"5/4/2026 12:00:00 AM","2","77","2.6"
"5/5/2026 12:00:00 AM","4","61","6.56"
"5/6/2026 12:00:00 AM","7","75","9.33"
"5/7/2026 12:00:00 AM","4","99","4.04"
"5/8/2026 12:00:00 AM","4","53","7.55"
"5/9/2026 12:00:00 AM","0","20","0"
