# Site: https://lucaberton.com/
# Run Date: 2026-06-05T22:54:41.027Z
# Pages Crawled: 1561
# Total Issues: 3486

issue_type,severity,category,url,evidence_summary,change_state,fix_recommendation,ownership
INTERNAL_PAGES_404_PAGE,Critical,INTERNAL_PAGES,https://lucaberton.com/blog/red-hat-summit-2026-gpus-take-flight-multi-tenant-platform-engineering,HTTP 404 Not Found,new,"Either restore the page content, set up a 301 redirect to a relevant page, or remove links pointing to this URL.",engineering
INTERNAL_PAGES_404_PAGE,Critical,INTERNAL_PAGES,https://lucaberton.com/blog/claude-code-masterclass-free-udemy-course-ai-development,HTTP 404 Not Found,new,"Either restore the page content, set up a 301 redirect to a relevant page, or remove links pointing to this URL.",engineering
INTERNAL_PAGES_404_PAGE,Critical,INTERNAL_PAGES,https://lucaberton.com/blog/nvidia-dynamo-inference-framework-kubernetes-2026,HTTP 404 Not Found,new,"Either restore the page content, set up a 301 redirect to a relevant page, or remove links pointing to this URL.",engineering
INTERNAL_PAGES_404_PAGE,Critical,INTERNAL_PAGES,https://lucaberton.com/blog/karpathy-claude-md-llm-coding-discipline-2026,HTTP 404 Not Found,new,"Either restore the page content, set up a 301 redirect to a relevant page, or remove links pointing to this URL.",engineering
INTERNAL_PAGES_404_PAGE,Critical,INTERNAL_PAGES,https://lucaberton.com/blog/cloud-native-rejekts-eu-2026-mc,HTTP 404 Not Found,new,"Either restore the page content, set up a 301 redirect to a relevant page, or remove links pointing to this URL.",engineering
INDEXABILITY_NON_CANONICAL_PAGE_SPECIFIED_AS_CANONICAL_ONE,High,INDEXABILITY,https://lucaberton.com/blog/search?q=installation,Page has non-self canonical pointing to: https://lucaberton.com/blog/search,changed,"If this page has unique content, update the canonical to be self-referencing. If it's truly a duplicate, ensure the canonical target is correct.",engineering
INDEXABILITY_NON_CANONICAL_PAGE_SPECIFIED_AS_CANONICAL_ONE,High,INDEXABILITY,https://lucaberton.com/blog/search?q=kubernetes,Page has non-self canonical pointing to: https://lucaberton.com/blog/search,changed,"If this page has unique content, update the canonical to be self-referencing. If it's truly a duplicate, ensure the canonical target is correct.",engineering
INDEXABILITY_NON_CANONICAL_PAGE_SPECIFIED_AS_CANONICAL_ONE,High,INDEXABILITY,https://lucaberton.com/blog/search?q=Kubernetes,Page has non-self canonical pointing to: https://lucaberton.com/blog/search,changed,"If this page has unique content, update the canonical to be self-referencing. If it's truly a duplicate, ensure the canonical target is correct.",engineering
INDEXABILITY_CANONICAL_TAG_MISSING,High,INDEXABILITY,https://lucaberton.com/blog/kcs_rhel_repos,Page has no canonical tag,unchanged,"Add a self-referencing <link rel=""canonical""> tag pointing to the preferred URL of this page.",engineering
INDEXABILITY_NON_CANONICAL_PAGE_SPECIFIED_AS_CANONICAL_ONE,High,INDEXABILITY,https://lucaberton.com/blog/search?q=terraform,Page has non-self canonical pointing to: https://lucaberton.com/blog/search,changed,"If this page has unique content, update the canonical to be self-referencing. If it's truly a duplicate, ensure the canonical target is correct.",engineering
INDEXABILITY_NON_CANONICAL_PAGE_SPECIFIED_AS_CANONICAL_ONE,High,INDEXABILITY,https://lucaberton.com/blog/search?q=troubleshooting,Page has non-self canonical pointing to: https://lucaberton.com/blog/search,changed,"If this page has unique content, update the canonical to be self-referencing. If it's truly a duplicate, ensure the canonical target is correct.",engineering
INDEXABILITY_CANONICAL_TAG_MISSING,High,INDEXABILITY,https://lucaberton.com/blog/nexusblod,Page has no canonical tag,unchanged,"Add a self-referencing <link rel=""canonical""> tag pointing to the preferred URL of this page.",engineering
INDEXABILITY_NON_CANONICAL_PAGE_SPECIFIED_AS_CANONICAL_ONE,High,INDEXABILITY,https://lucaberton.com/blog/search?q=Troubleshooting,Page has non-self canonical pointing to: https://lucaberton.com/blog/search,changed,"If this page has unique content, update the canonical to be self-referencing. If it's truly a duplicate, ensure the canonical target is correct.",engineering
INDEXABILITY_NON_CANONICAL_PAGE_SPECIFIED_AS_CANONICAL_ONE,High,INDEXABILITY,https://lucaberton.com/blog/search?q=tutorial,Page has non-self canonical pointing to: https://lucaberton.com/blog/search,changed,"If this page has unique content, update the canonical to be self-referencing. If it's truly a duplicate, ensure the canonical target is correct.",engineering
INDEXABILITY_CANONICAL_TAG_MISSING,High,INDEXABILITY,https://lucaberton.com/booklist,Page has no canonical tag,unchanged,"Add a self-referencing <link rel=""canonical""> tag pointing to the preferred URL of this page.",engineering
INDEXABILITY_CANONICAL_TAG_MISSING,High,INDEXABILITY,https://lucaberton.com/rss.xml,Page has no canonical tag,unchanged,"Add a self-referencing <link rel=""canonical""> tag pointing to the preferred URL of this page.",engineering
INDEXABILITY_CANONICAL_TAG_MISSING,High,INDEXABILITY,https://lucaberton.com/services/ai-integration-green-code,Page has no canonical tag,new,"Add a self-referencing <link rel=""canonical""> tag pointing to the preferred URL of this page.",engineering
CONTENT_INDEXABLE_TITLE_TAG_MISSING_OR_EMPTY,High,CONTENT,https://lucaberton.com/rss.xml,Page is missing a title tag,unchanged,"Add a unique, descriptive <title> tag to the page's <head> section.",content
CONTENT_INDEXABLE_H1_TAG_MISSING_OR_EMPTY,High,CONTENT,https://lucaberton.com/rss.xml,Page is missing an H1 heading,unchanged,"Add a single, descriptive <h1> heading that summarizes the page content.",content
CONTENT_INDEXABLE_META_DESCRIPTION_TAG_MISSING_OR_EMPTY,High,CONTENT,https://lucaberton.com/rss.xml,Page is missing a meta description,unchanged,Add a unique meta description (120-160 characters) that summarizes the page content.,content
