"Query","Page","Impressions","Clicks","Position"
"watermelon ui","https://lucaberton.com/blog/four-ui-ai-tools-2026/","2042","2","8.05"
"hermes cloud","https://lucaberton.com/blog/what-is-hermes-cloud-nous-portal/","1316","2","6.48"
"ui ux pro max skill claude","https://lucaberton.com/blog/claude-code-uiux-pro-max-website-builder/","1180","1","9.19"
"karpathy guidelines","https://lucaberton.com/blog/karpathy-claude-md-llm-coding-principles-2026/","1027","10","5.8"
"ui ux pro max","https://lucaberton.com/blog/claude-code-uiux-pro-max-website-builder/","977","1","9.42"
"hermes agent discord","https://lucaberton.com/blog/connecting-hermes-agent-to-discord/","820","7","7.01"
"hermes discord","https://lucaberton.com/blog/connecting-hermes-agent-to-discord/","798","4","8.04"
"aiperf","https://lucaberton.com/blog/nvidia-aiperf-llm-inference-benchmarking-guide/","767","3","6.64"
"karpathy-guidelines","https://lucaberton.com/blog/karpathy-claude-md-llm-coding-principles-2026/","749","2","6.2"
"soup llm","https://lucaberton.com/blog/soup-cli-fine-tuning-llm-layer-streaming/","685","13","6.88"
"brew aws cli","https://lucaberton.com/blog/install-aws-cli-mac-homebrew-2026/","663","1","5.38"
"soup cli","https://lucaberton.com/blog/soup-cli-fine-tuning-llm-layer-streaming/","656","13","5.11"
"uiuxpromax","https://lucaberton.com/blog/claude-code-uiux-pro-max-website-builder/","612","1","7.28"
"aws cli brew","https://lucaberton.com/blog/install-aws-cli-mac-homebrew-2026/","564","6","6.09"
"install kubectl ubuntu","https://lucaberton.com/blog/install-kubectl-ubuntu/","405","1","11.2"
"soup ai training","https://lucaberton.com/blog/soup-cli-fine-tuning-llm-layer-streaming/","402","2","8.6"
"connection dropped (econnreset)","https://lucaberton.com/blog/claude-code-econnreset-fix/","400","5","5.12"
"kind vs minikube","https://lucaberton.com/blog/kind-vs-minikube-2026/","396","8","5.3"
"hermes discord setup","https://lucaberton.com/blog/connecting-hermes-agent-to-discord/","371","3","6.44"
"claude ui ux pro max skill","https://lucaberton.com/blog/claude-code-uiux-pro-max-website-builder/","351","1","8.77"
"homebrew aws cli","https://lucaberton.com/blog/install-aws-cli-mac-homebrew-2026/","341","1","5.06"
"puppet vs ansible","https://lucaberton.com/blog/ansible-vs-puppet-2026/","304","2","13.12"
"etcdctl","https://lucaberton.com/blog/etcdctl-cheat-sheet-2026/","302","1","6.31"
"aws cli homebrew","https://lucaberton.com/blog/install-aws-cli-mac-homebrew-2026/","294","2","7.32"
"soup llm training","https://lucaberton.com/blog/soup-cli-fine-tuning-llm-layer-streaming/","283","3","6.59"
