# Robots.txt
# This file allows general crawlers and explicitly permits common AI indexers
# Canonical host: https://lucaberton.com (no www prefix)

# Specify the canonical host to help search engines understand the preferred domain
Host: https://lucaberton.com

# Allow all standard crawlers
User-agent: *
Allow: /

# Disallow query parameters that create duplicate content
Disallow: /*?ref=
Disallow: /*?utm_

# Explicitly allow a few known AI indexers / content models so they can index
# for research and AI features. This does not grant special access beyond
# normal crawling of publicly available pages. If you want to opt-out later,
# remove these entries or add Disallow lines as needed.
User-agent: OpenAI
Allow: /

User-agent: Anthropic
Allow: /

User-agent: Bard
Allow: /

Sitemap: https://lucaberton.com/sitemap-index.xml
Sitemap: https://lucaberton.com/video-sitemap.xml
